name,description,price,imageUrl,categoryId,stockQuantity
Electronics Smartphone 001,6.5" OLED display, dual SIM, 128GB,499.99,https://loremflickr.com/600/400/smartphone?lock=1001,1,120
Electronics Smartphone 002,6.1" AMOLED, 5G, 256GB,549.99,https://loremflickr.com/600/400/smartphone?lock=1002,1,110
Electronics Smartphone 003,6.7" OLED, 8GB RAM, 128GB,579.00,https://loremflickr.com/600/400/smartphone?lock=1003,1,95
Electronics Smartphone 004,6.5" IPS, 6GB RAM, 64GB,299.00,https://loremflickr.com/600/400/smartphone?lock=1004,1,150
Electronics Smartphone 005,6.8" AMOLED, 12GB/256GB,699.00,https://loremflickr.com/600/400/smartphone?lock=1005,1,80
Electronics Laptop 006,14" ultrabook, 16GB RAM, 512GB SSD,1099.00,https://loremflickr.com/600/400/laptop?lock=1006,1,55
Electronics Laptop 007,15.6" gaming, RTX GPU, 1TB SSD,1499.00,https://loremflickr.com/600/400/laptop?lock=1007,1,35
Electronics Laptop 008,13" lightweight, 8GB/256GB,899.00,https://loremflickr.com/600/400/laptop?lock=1008,1,75
Electronics Earbuds 009,Wireless earbuds with ANC,79.00,https://loremflickr.com/600/400/earbuds?lock=1009,1,200
Electronics Headphones 010,Over‑ear ANC 30h battery,149.50,https://loremflickr.com/600/400/headphones?lock=1010,1,180
Electronics Smartwatch 011,AMOLED, GPS, heart‑rate,179.00,https://loremflickr.com/600/400/smartwatch?lock=1011,1,130
Electronics Tablet 012,10.5" display, 128GB, Wi‑Fi,329.00,https://loremflickr.com/600/400/tablet?lock=1012,1,140
Electronics Camera 013,Mirrorless 24MP, 4K video,699.00,https://loremflickr.com/600/400/camera?lock=1013,1,60
Electronics Drone 014,4K camera, 3‑axis gimbal,799.00,https://loremflickr.com/600/400/drone?lock=1014,1,40
Electronics Speaker 015,Bluetooth speaker, 20W,49.99,https://loremflickr.com/600/400/speaker?lock=1015,1,210
Electronics Console 016,Next‑gen gaming console,499.00,https://loremflickr.com/600/400/console?lock=1016,1,45
Electronics Monitor 017,27" 144Hz IPS,279.00,https://loremflickr.com/600/400/monitor?lock=1017,1,85
Electronics Keyboard 018,Mechanical RGB keyboard,89.00,https://loremflickr.com/600/400/keyboard?lock=1018,1,160
Electronics Mouse 019,Wireless ergonomic mouse,39.00,https://loremflickr.com/600/400/mouse?lock=1019,1,190
Electronics Router 020,Wi‑Fi 6 dual‑band router,99.00,https://loremflickr.com/600/400/router?lock=1020,1,130
Electronics SSD 021,1TB NVMe SSD,109.00,https://loremflickr.com/600/400/ssd?lock=1021,1,200
Electronics Power Bank 022,20000mAh PD fast charge,49.00,https://loremflickr.com/600/400/powerbank?lock=1022,1,220
Electronics Charger 023,65W USB‑C GaN charger,39.00,https://loremflickr.com/600/400/charger?lock=1023,1,260
